id,url
v001,https://v.douyin.com/NUs-k6Tw5TM/
v002,https://v.douyin.com/z63h3fneP7A/
v003,https://v.douyin.com/ROof0V5L-Xg/
v004,https://v.douyin.com/b891aUAfw7Q/
v005,https://v.douyin.com/pm5Driz8KAs/
v006,https://v.douyin.com/a86AUWorkjc/
v007,https://v.douyin.com/qv-RWI5tmn4/
v008,https://v.douyin.com/5WlI7nbc1QU/
v009,https://v.douyin.com/EIxo_GcHrUk/
v010,https://v.douyin.com/sQbCETADqvI/
v011,https://v.douyin.com/Iesgh3jegXw/
v012,https://v.douyin.com/Z5Lo_EmFAzU/
v013,https://v.douyin.com/SuINeaxMYGs/
v014,https://v.douyin.com/I2Jtlai1XrI/
v015,https://v.douyin.com/55_4tDaS_0U/
v016,https://v.douyin.com/cJnb3L7FlME/
v017,https://v.douyin.com/Iq4VGHWbdFQ/
v018,https://v.douyin.com/igwvvU_1GDM/
v019,https://v.douyin.com/hhRsLcP9ro4/
v020,https://v.douyin.com/ntg_zLn-KfM/
v021,https://v.douyin.com/SB_AAJA9_ns/
v022,https://v.douyin.com/_aHKanI_iII/
v023,https://www.douyin.com/video/7616657112566959370
v024,https://www.douyin.com/video/7639781257232108843
v025,https://www.douyin.com/video/7639681705515670117
v026,https://www.douyin.com/note/7637091932989176185
v027,https://www.douyin.com/note/7638465952426534106
v028,https://www.douyin.com/video/7635260937146226789
v029,https://www.douyin.com/video/7637529266387324027
v030,https://www.douyin.com/video/7549137197274893619
v031,https://www.douyin.com/video/7632253065944436019
v032,https://www.douyin.com/video/7639750360508836849
v033,https://www.douyin.com/video/7608818004625947066
v034,https://www.douyin.com/video/7638844066735120997
v035,https://www.douyin.com/video/7639989843518988913
v036,https://www.douyin.com/video/7638955811674923758
v037,https://www.douyin.com/note/7639991508204116928
v038,https://www.douyin.com/video/7635930138689031466
v039,https://www.douyin.com/note/7639982426302987749
v040,https://www.douyin.com/video/7639535310775593097
v041,https://www.douyin.com/video/7640024018912840966
